Room,Building,Capacity,AV Equipment,Location,URL
DTB A102 – Classroom,David Turpin Building,110,"1 document camera; 2 digital video projectors; A built-in classroom computer with webcam; Lecture capture capability; Podium; Projectors present against wall; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the David Turpin Building,https://www.uvic.ca/search/rooms/pages/dtb-a102-classroom.php
ELL 161 – Classroom,Elliot Building,24,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Elliot Building,https://www.uvic.ca/search/rooms/pages/ell-161-classroom.php
DSB C116 – Classroom,David Strong Building,64,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Projectors present against wall; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the David Strong Building,https://www.uvic.ca/search/rooms/pages/dsb-c116-classroom.php
ECS 130 – Classroom,Engineering and Computer Science Building,34,"1 document camera; 2 digital video projectors; A built-in classroom computer with webcam; Lecture capture capability; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Engineering and Computer Science Building,https://www.uvic.ca/search/rooms/pages/ecs-130-classroom.php
CLE A224 – Classroom,Clearihue Building,86,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-a224-classroom.php
MAC A144 - David Lam Auditorium,MacLaurin building,317,"2 document camera; 3 digital video projectors; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the MacLaurin building,https://www.uvic.ca/search/rooms/pages/mac-a144-david-lam-auditorium.php
CLE A329 – Classroom,Clearihue Building,30,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-a329-classroom.php
DSB C118 – Classroom,David Strong Building,74,"1 digital video projector; 1 document camera; A built-in classroom computer; Lecture capture capability; Podium; Projectors present against wall; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the David Strong Building,https://www.uvic.ca/search/rooms/pages/dsb-c118-classroom.php
CLE C316 – Classroom,Clearihue Building,20,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-c316-classroom.php
DSB C130 – Classroom,David Strong Building,35,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Projectors present against wall; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the David Strong Building,https://www.uvic.ca/search/rooms/pages/dsb-c130-classroom.php
CLE B215 – Classroom,Clearihue Building,20,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-b215-classroom.php
FPH 160 – Classroom,First Peoples House,30,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Projector presents against wall; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the First Peoples House,https://www.uvic.ca/search/rooms/pages/fph-160-classroom.php
MAC D111 – Classroom,MacLaurin Building,29,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the MacLaurin Building,https://www.uvic.ca/search/rooms/pages/mac-d111-classroom.php
COR A121 – Classroom,Cornett Building,71,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Cornett Building,https://www.uvic.ca/search/rooms/pages/cor-a121-classroom.php
CLE C116 – Classroom,Clearihue Building,12,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-c116-classroom.php
COR A120 – Classroom,Cornett Building,81,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Cornett Building,https://www.uvic.ca/search/rooms/pages/cor-a120-classroom.php
CLE A325 – Classroom,Clearihue Building,21,1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI and USB); Wireless mic,of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-a325-classroom.php
DSB C108 – Classroom,David Strong Building,45,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Projectors present against wall; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the David Strong Building,https://www.uvic.ca/search/rooms/pages/dsb-c108-classroom.php
CLE A216 – Classroom,Clearihue Building,32,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-a216-classroom.php
FIA 103 – Classroom,Fine Arts Building,50,"1 DVD player; 1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Fine Arts Building,https://www.uvic.ca/search/rooms/pages/fia-103-classroom.php
CLE D131 – Classroom,Clearihue Building,27,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-d131-classroom.php
MAC D287 – Classroom,MacLaurin Building,40,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the MacLaurin Building,https://www.uvic.ca/search/rooms/pages/mac-d287-classroom.php
MAC D283 – Classroom,MacLaurin Building,55,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the MacLaurin Building,https://www.uvic.ca/search/rooms/pages/mac-d283-classroom.php
ELL 062 – Classroom,Elliot Building,80,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Elliot Building,https://www.uvic.ca/search/rooms/pages/ell-062-classroom.php
ELL 060 – Classroom,Elliot Building,68,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Elliot Building,https://www.uvic.ca/search/rooms/pages/ell-060-classroom.php
FIA 104 – Classroom,Fine Arts Building,28,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Fine Arts Building,https://www.uvic.ca/search/rooms/pages/fia-104-classroom.php
CLE A320 – Classroom,Clearihue Building,45,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-a320-classroom.php
MAC D114 – Classroom,MacLaurin Building,60,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the MacLaurin Building,https://www.uvic.ca/search/rooms/pages/mac-d114-classroom.php
CLE A221 – Classroom,Clearihue Building,22,1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI and USB); Wireless mic,of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-a221-classroom.php
MAC D105 – Classroom,MacLaurin Building,17,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the MacLaurin Building,https://www.uvic.ca/search/rooms/pages/mac-d105-classroom.php
HSD A250 – Classroom,Human and Social Development building,24,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Human and Social Development building,https://www.uvic.ca/search/rooms/pages/hsd-a250-classroom.php
COR A221 – Classroom,Cornett Building,93,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Cornett Building,https://www.uvic.ca/search/rooms/pages/cor-a221-classroom.php
CLE D125 – Classroom,Clearihue Building,16,this website stores cookies on your computer,of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-d125-classroom.php
COR B143 – Classroom,Cornett Building,77,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Cornett Building,https://www.uvic.ca/search/rooms/pages/cor-b143-classroom.php
CLE C115 – Classroom,Clearihue Building,30,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-c115-classroom.php
CUN 146 – Classroom,Cunningham Building,58,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Cunningham Building,https://www.uvic.ca/search/rooms/pages/cun-146-classroom.php
