Room,Building,Capacity,AV Equipment,Location,URL
CLE D126 – Classroom,Clearihue Building,16,this website stores cookies on your computer,of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-d126-classroom.php
ECS 123 – Lecture theatre,Engineering and Computer Science Building,299,"2 document cameras; 3 digital video projectors; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Engineering and Computer Science Building,https://www.uvic.ca/search/rooms/pages/ecs-123-lecture-theatre.php
CLE D130 – Classroom,Clearihue Building,21,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-d130-classroom.php
ECS 125 – Classroom,Engineering and Computer Science Building,151,"1 document camera; 2 digital video projectors; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI x 2, VGA, 3.5mm audio); Wireless mic",of the Engineering and Computer Science Building,https://www.uvic.ca/search/rooms/pages/ecs-125-classroom.php
CLE C108 – Classroom,Clearihue Building,32,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-c108-classroom.php
HHB 110 – Multi-access classroom,Hickman building,46,2 document cameras; 4 TV displays; A built-in classroom computer with webcam; Podium; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI and USB); Video conferencing and lecture capture capabilities,of the Hickman building,https://www.uvic.ca/search/rooms/pages/hhb-110-multi-access-classroom.php
COR B107 – Classroom,Cornett Building,60,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Cornett Building,https://www.uvic.ca/search/rooms/pages/cor-b107-classroom.php
CLE C109 – Classroom,Clearihue Building,35,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-c109-classroom.php
HSD A264 – Classroom,Human and Social Development building,30,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Human and Social Development building,https://www.uvic.ca/search/rooms/pages/hsd-a264-classroom.php
COR A225 – Classroom,Cornett Building,64,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Cornett Building,https://www.uvic.ca/search/rooms/pages/cor-a225-classroom.php
COR A229 – Classroom,Cornett Building,62,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Cornett Building,https://www.uvic.ca/search/rooms/pages/cor-a229-classroom.php
ECS 108 – Classroom,Engineering and Computer Science Building,60,"1 document camera; 2 digital video projector; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Engineering and Computer Science Building,https://www.uvic.ca/search/rooms/pages/ecs-108-classroom.php
CLE C113 – Classroom,Clearihue Building,28,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-c113-classroom.php
ECS 116 – Classroom,Engineering and Computer Science Building,117,"1 document camera; 2 digital video projectors; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Engineering and Computer Science Building,https://www.uvic.ca/search/rooms/pages/ecs-116-classroom.php
MAC D101 – Classroom,MacLaurin Building,36,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the MacLaurin Building,https://www.uvic.ca/search/rooms/pages/mac-d101-classroom.php
FPH 162 – Classroom,First Peoples House,12,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Projector presents against wall; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the First Peoples House,https://www.uvic.ca/search/rooms/pages/fph-162-classroom.php
